#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 2.000 EEPS=264
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  65  1.420370  3.8274  4.1217  0.7315  4.1491  3.0539  2.8107  2.7996  2.8632
  66  1.427415  3.8276  4.1136  0.7423  4.1218  3.0258  2.7836  2.7731  2.8369
  67  1.434330  3.8276  4.1055  0.7530  4.0952  2.9985  2.7571  2.7469  2.8110
  68  1.441598  3.8277  4.0968  0.7641  4.0677  2.9701  2.7295  2.7196  2.7839
  69  1.449740  3.8278  4.0876  0.7763  4.0371  2.9385  2.6989  2.6896  2.7541
  70  1.458432  3.8279  4.0775  0.7893  4.0047  2.9051  2.6664  2.6575  2.7223
  71  1.467401  3.8280  4.0671  0.8025  3.9718  2.8711  2.6332  2.6247  2.6897
  72  1.476229  3.8279  4.0566  0.8156  3.9399  2.8379  2.6005  2.5922  2.6572
  73  1.484785  3.8278  4.0460  0.8282  3.9097  2.8062  2.5689  2.5606  2.6256
  74  1.492927  3.8276  4.0354  0.8403  3.8812  2.7759  2.5382  2.5300  2.5947
  75  1.500275  3.8272  4.0251  0.8511  3.8569  2.7495  2.5110  2.5023  2.5666
  76  1.506603  3.8266  4.0151  0.8606  3.8364  2.7266  2.4867  2.4772  2.5410
  77  1.512583  3.8259  4.0049  0.8697  3.8173  2.7047  2.4631  2.4528  2.5160
  78  1.518262  3.8251  3.9947  0.8784  3.8002  2.6847  2.4407  2.4295  2.4917
  79  1.523677  3.8242  3.9843  0.8868  3.7844  2.6659  2.4190  2.4066  2.4679
  80  1.529035  3.8233  3.9736  0.8951  3.7694  2.6475  2.3975  2.3836  2.4438
  81  1.534766  3.8222  3.9623  0.9037  3.7542  2.6286  2.3752  2.3597  2.4188
  82  1.538343  3.8215  3.9554  0.9090  3.7451  2.6171  2.3615  2.3451  2.4034
  83  1.542089  3.8208  3.9482  0.9144  3.7356  2.6053  2.3474  2.3300  2.3875
  84  1.546047  3.8201  3.9410  0.9200  3.7257  2.5929  2.3328  2.3144  2.3711
  85  1.550255  3.8194  3.9335  0.9258  3.7153  2.5800  2.3176  2.2982  2.3541
  86  1.554604  3.8187  3.9257  0.9319  3.7044  2.5666  2.3019  2.2814  2.3365
  87  1.559118  3.8180  3.9178  0.9381  3.6935  2.5531  2.2859  2.2643  2.3185
  88  1.563798  3.8172  3.9097  0.9444  3.6825  2.5394  2.2696  2.2468  2.3002
  89  1.568590  3.8163  3.9013  0.9508  3.6718  2.5257  2.2531  2.2292  2.2816
  90  1.573451  3.8155  3.8928  0.9571  3.6612  2.5121  2.2366  2.2113  2.2628
  91  1.578353  3.8146  3.8841  0.9635  3.6509  2.4985  2.2200  2.1934  2.2438
  92  1.583254  3.8136  3.8753  0.9698  3.6413  2.4854  2.2036  2.1756  2.2249
  93  1.588105  3.8126  3.8665  0.9760  3.6322  2.4727  2.1875  2.1579  2.2059
  94  1.592885  3.8115  3.8577  0.9821  3.6240  2.4605  2.1715  2.1404  2.1873
  95  1.597538  3.8105  3.8488  0.9881  3.6165  2.4489  2.1561  2.1234  2.1691
  96  1.602060  3.8095  3.8400  0.9937  3.6099  2.4380  2.1412  2.1068  2.1511
  97  1.606475  3.8082  3.8311  0.9993  3.6043  2.4276  2.1265  2.0905  2.1335
  98  1.610807  3.8071  3.8222  1.0046  3.5992  2.4177  2.1123  2.0744  2.1162
  99  1.615077  3.8059  3.8134  1.0099  3.5943  2.4079  2.0983  2.0587  2.0990
 100  1.619287  3.8048  3.8047  1.0152  3.5893  2.3982  2.0845  2.0430  2.0821
 101  1.623439  3.8037  3.7960  1.0206  3.5844  2.3884  2.0706  2.0274  2.0652
 102  1.627522  3.8026  3.7874  1.0261  3.5786  2.3780  2.0564  2.0116  2.0482
 103  1.631395  3.8017  3.7790  1.0316  3.5723  2.3671  2.0421  1.9958  2.0314
 104  1.634976  3.8009  3.7713  1.0373  3.5643  2.3553  2.0278  1.9803  2.0149
 105  1.638051  3.8004  3.7647  1.0427  3.5548  2.3432  2.0140  1.9657  1.9998
 106  1.640571  3.8002  3.7591  1.0478  3.5442  2.3312  2.0011  1.9525  1.9862
 107  1.642654  3.8001  3.7545  1.0525  3.5333  2.3195  1.9891  1.9404  1.9740
 108  1.644267  3.8002  3.7509  1.0569  3.5220  2.3083  1.9783  1.9297  1.9634
 109  1.645513  3.8004  3.7481  1.0609  3.5105  2.2976  1.9683  1.9201  1.9541
 110  1.646532  3.8007  3.7458  1.0647  3.4989  2.2872  1.9590  1.9114  1.9456
 111  1.647404  3.8010  3.7439  1.0682  3.4871  2.2768  1.9501  1.9030  1.9376
 112  1.647674  3.8012  3.7433  1.0695  3.4831  2.2734  1.9472  1.9002  1.9351
 113  1.647943  3.8013  3.7427  1.0708  3.4784  2.2693  1.9438  1.8971  1.9322
 114  1.648212  3.8015  3.7422  1.0721  3.4740  2.2656  1.9406  1.8942  1.9294
 115  1.648481  3.8017  3.7416  1.0734  3.4696  2.2618  1.9374  1.8913  1.9266
 116  1.648751  3.8019  3.7410  1.0750  3.4642  2.2572  1.9336  1.8878  1.9234
 117  1.649020  3.8021  3.7404  1.0765  3.4587  2.2526  1.9298  1.8844  1.9202
 118  1.649287  3.8023  3.7398  1.0781  3.4533  2.2480  1.9261  1.8810  1.9171
 119  1.649556  3.8026  3.7392  1.0797  3.4474  2.2431  1.9220  1.8774  1.9137
 120  1.649823  3.8029  3.7386  1.0816  3.4403  2.2372  1.9174  1.8732  1.9100
 121  1.650090  3.8032  3.7380  1.0834  3.4337  2.2317  1.9130  1.8693  1.9063
 122  1.650355  3.8035  3.7374  1.0854  3.4264  2.2256  1.9081  1.8650  1.9024
 123  1.650620  3.8039  3.7370  1.0877  3.4179  2.2186  1.9026  1.8602  1.8980
 124  1.650883  3.8043  3.7364  1.0899  3.4096  2.2115  1.8972  1.8554  1.8938
 125  1.651143  3.8048  3.7359  1.0925  3.3996  2.2034  1.8909  1.8499  1.8889
 126  1.651402  3.8053  3.7354  1.0951  3.3897  2.1952  1.8847  1.8445  1.8839
 127  1.651657  3.8059  3.7349  1.0982  3.3779  2.1855  1.8774  1.8382  1.8784
