objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237668625695768700,182.527784019704,18.5411248072826,18.23463,17.0536,17.4267,18.09461,18.33108,0.01920701,0.005669219,0.007090474,0.01284008,0.03531108
1237668625695768716,182.524527781577,18.5426644389688,17.85685,17.13138,24.80204,24.36181,22.82691,0.0584836,0.01791476,11.83435,9.595301,6.254215
1237668625695768721,182.526523744407,18.5471196794098,18.61732,17.22424,17.8071,18.08201,18.53761,0.02060184,0.005498694,0.007237444,0.00996541,0.03511516
1237668625695768713,182.522333782554,18.5440804275005,18.52286,17.29836,17.10011,16.93418,17.13034,0.01984764,0.005905588,0.006028255,0.006559178,0.014194
1237668625695768690,182.521886541058,18.547683887805,18.32268,16.19319,15.50751,15.17955,15.0355,0.01617361,0.00446009,0.003992147,0.004026293,0.005241709
1237668625695768705,182.524628908972,18.5453223782398,18.63165,17.13837,16.64785,16.37226,16.38571,0.02360415,0.005799659,0.005210987,0.005143147,0.009380709
1237668625695768714,182.524155949996,18.5449364948494,18.53391,17.14133,16.76935,16.56853,16.39977,0.02148317,0.00559826,0.005319889,0.005545918,0.00919913
1237668496858349614,182.531419348565,18.5181996049952,17.65091,15.60136,14.72959,14.38047,14.18276,0.0124086,0.003413605,0.002831352,0.002949485,0.003811137
1237668496858349659,182.516942903497,18.5308043689202,21.89457,25.11437,18.43846,18.59133,17.79069,0.2394116,1.127127,0.01000471,0.01437806,0.02239837
1237668496858349654,182.517837548745,18.5304897298086,19.64589,18.21282,17.69589,17.50537,17.37281,0.04311316,0.007015456,0.006295917,0.007135657,0.01648764
1237668496858349658,182.521894726847,18.5221653446169,19.60168,18.24303,17.70475,17.48884,17.35835,0.04124893,0.006798595,0.006061369,0.006910534,0.01666084
1237668496858349642,182.527808627673,18.519117226225,21.82223,18.8071,17.38727,16.67047,16.27093,0.2354119,0.009215294,0.005258213,0.004728578,0.008467252
1237668625695768703,182.520571686017,18.5345173852463,18.18952,16.95828,16.92538,16.94709,17.18759,0.01498593,0.005034583,0.004918483,0.005569603,0.01260024
1237668496858349650,182.527403875563,18.5299782451121,19.30439,17.90731,17.35402,17.15889,17.00686,0.03393987,0.006012299,0.005266853,0.005887778,0.01286533
1237668625695768699,182.526429517233,18.5371735150972,18.20988,16.92004,17.13797,17.47719,17.56062,0.0170764,0.005216144,0.005789695,0.007946391,0.01875541
1237668496858349653,182.528016458944,18.5329591856844,19.46004,18.17626,17.65302,17.48655,17.3071,0.03811862,0.006974999,0.006270263,0.007208605,0.0159716
1237668496858349646,182.523157276101,18.5322078291702,18.99579,17.85398,17.2688,17.13582,16.87795,0.03245578,0.00678575,0.005768977,0.006744339,0.01474649
1237668496858349643,182.538638721861,18.5192107388648,21.07134,18.27135,17.21465,16.83521,16.59677,0.1246629,0.006855869,0.0048585,0.005047028,0.01011909
1237668496858349640,182.535776699006,18.5215369970721,18.3054,17.25525,17.5095,17.70743,17.86618,0.01785117,0.004629087,0.005588141,0.007854521,0.02431123
1237668625695768719,182.533691357026,18.5363365551133,18.39149,17.12179,17.00046,17.09751,17.11396,0.0177398,0.005248388,0.005197053,0.006194335,0.01259424
1237668625695768688,182.534390088363,18.5353786031246,18.11521,16.2353,15.46686,15.17861,14.98728,0.01480761,0.004800505,0.003545209,0.004244545,0.005412335
1237668496858349626,182.534919065375,18.5299250914487,18.21704,17.04365,17.22865,17.40496,17.46517,0.01726094,0.00436367,0.004948149,0.006674908,0.01795698
1237668625695768691,182.515778126669,18.563168376002,18.2086,16.24975,15.49636,15.20447,15.06797,0.01473376,0.004432005,0.003862283,0.003870349,0.005174509
