#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 3.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  67  1.087353  3.7814  4.3944  0.1593  5.9316  4.6269  4.2157  4.1367  4.1500
  68  1.092372  3.7825  4.3889  0.1710  5.8876  4.5930  4.1874  4.1100  4.1245
  69  1.096931  3.7835  4.3840  0.1816  5.8479  4.5624  4.1617  4.0855  4.1012
  70  1.100946  3.7844  4.3798  0.1911  5.8124  4.5352  4.1386  4.0636  4.0802
  71  1.104502  3.7852  4.3757  0.1999  5.7812  4.5110  4.1175  4.0434  4.0608
  72  1.107710  3.7859  4.3720  0.2078  5.7544  4.4896  4.0977  4.0241  4.0419
  73  1.110671  3.7867  4.3684  0.2154  5.7294  4.4695  4.0788  4.0057  4.0239
  74  1.113530  3.7873  4.3649  0.2228  5.7053  4.4501  4.0605  3.9877  4.0063
  75  1.116542  3.7880  4.3613  0.2304  5.6808  4.4301  4.0413  3.9690  3.9880
  76  1.119984  3.7889  4.3576  0.2387  5.6541  4.4083  4.0204  3.9486  3.9681
  77  1.124413  3.7899  4.3533  0.2487  5.6226  4.3821  3.9953  3.9240  3.9441
  78  1.131479  3.7913  4.3471  0.2633  5.5767  4.3440  3.9586  3.8882  3.9091
  79  1.228220  3.8027  4.2355  0.4560  4.9945  3.8220  3.4817  3.4297  3.4638
  80  1.237492  3.8029  4.2237  0.4718  4.9533  3.7811  3.4422  3.3908  3.4253
  81  1.259537  3.8031  4.1936  0.5103  4.8558  3.6827  3.3462  3.2958  3.3308
  82  1.286926  3.8029  4.1527  0.5599  4.7330  3.5568  3.2222  3.1726  3.2079
  83  1.307939  3.8032  4.1247  0.5961  4.6402  3.4635  3.1318  3.0833  3.1193
  84  1.324076  3.8037  4.1051  0.6234  4.5678  3.3926  3.0642  3.0171  3.0539
  85  1.337181  3.8041  4.0885  0.6454  4.5106  3.3356  3.0094  2.9630  3.0004
  86  1.347911  3.8039  4.0728  0.6636  4.4668  3.2898  2.9636  2.9174  2.9547
  87  1.357377  3.8033  4.0567  0.6802  4.4304  3.2494  2.9219  2.8751  2.9117
  88  1.366124  3.8023  4.0407  0.6956  4.3982  3.2126  2.8830  2.8352  2.8712
  89  1.374161  3.8014  4.0256  0.7096  4.3705  3.1797  2.8475  2.7987  2.8337
  90  1.381537  3.8005  4.0114  0.7221  4.3467  3.1507  2.8158  2.7658  2.7998
  91  1.388303  3.7995  3.9986  0.7333  4.3273  3.1256  2.7876  2.7363  2.7694
  92  1.394495  3.7985  3.9869  0.7430  4.3123  3.1044  2.7627  2.7100  2.7421
  93  1.400087  3.7976  3.9766  0.7513  4.3002  3.0863  2.7411  2.6872  2.7182
  94  1.405104  3.7966  3.9671  0.7585  4.2910  3.0713  2.7228  2.6675  2.6975
  95  1.409684  3.7958  3.9584  0.7649  4.2835  3.0581  2.7065  2.6498  2.6788
  96  1.413932  3.7948  3.9502  0.7706  4.2770  3.0463  2.6918  2.6339  2.6618
  97  1.417965  3.7939  3.9423  0.7761  4.2710  3.0352  2.6781  2.6188  2.6458
  98  1.421825  3.7929  3.9346  0.7813  4.2645  3.0246  2.6652  2.6046  2.6306
  99  1.425587  3.7920  3.9269  0.7865  4.2539  3.0131  2.6536  2.5917  2.6166
 100  1.429276  3.7911  3.9194  0.7917  4.2431  3.0015  2.6419  2.5787  2.6026
 101  1.432870  3.7903  3.9119  0.7970  4.2319  2.9896  2.6298  2.5653  2.5882
 102  1.436193  3.7897  3.9048  0.8025  4.2204  2.9772  2.6171  2.5517  2.5738
 103  1.439104  3.7892  3.8985  0.8078  4.2088  2.9647  2.6043  2.5382  2.5597
 104  1.441555  3.7889  3.8929  0.8130  4.1975  2.9525  2.5920  2.5253  2.5466
 105  1.443549  3.7888  3.8884  0.8176  4.1863  2.9408  2.5801  2.5134  2.5345
 106  1.445258  3.7889  3.8846  0.8223  4.1751  2.9292  2.5686  2.5019  2.5231
 107  1.446612  3.7890  3.8813  0.8264  4.1645  2.9183  2.5579  2.4915  2.5128
 108  1.447594  3.7892  3.8788  0.8302  4.1547  2.9084  2.5482  2.4822  2.5038
 109  1.448447  3.7895  3.8765  0.8338  4.1452  2.8989  2.5389  2.4733  2.4953
 110  1.449178  3.7898  3.8745  0.8372  4.1359  2.8895  2.5298  2.4649  2.4871
 111  1.449810  3.7902  3.8727  0.8405  4.1268  2.8805  2.5211  2.4566  2.4793
 112  1.450087  3.7904  3.8719  0.8421  4.1224  2.8761  2.5169  2.4527  2.4756
 113  1.450362  3.7906  3.8710  0.8438  4.1175  2.8713  2.5122  2.4484  2.4715
 114  1.450636  3.7907  3.8702  0.8455  4.1130  2.8667  2.5078  2.4443  2.4676
