#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 5.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
   9  0.115637  3.5051  5.2452 -2.7703 17.8579 14.7244 13.2187 11.9570 11.2365
  10  0.135432  3.5052  5.1769 -2.6332 17.4635 14.3731 12.8758 11.6161 10.8953
  11  0.168758  3.5079  5.1022 -2.4521 16.8878 13.8654 12.3861 11.1502 10.4409
  12  0.208964  3.5144  5.0507 -2.2814 16.2703 13.3239 11.8726 10.6886 10.0078
  13  0.235927  3.5185  5.0206 -2.1826 15.9179 13.0112 11.5764 10.4220  9.7580
  14  0.259203  3.5218  4.9973 -2.1053 15.6450 12.7667 11.3452 10.2135  9.5628
  15  0.282589  3.5249  4.9767 -2.0346 15.3991 12.5434 11.1343 10.0228  9.3844
  16  0.297715  3.5268  4.9624 -1.9899 15.2456 12.4034 11.0020  9.9026  9.2716
  17  0.305897  3.5279  4.9534 -1.9650 15.1618 12.3268 10.9295  9.8363  9.2090
  18  0.311517  3.5285  4.9467 -1.9476 15.1045 12.2743 10.8798  9.7905  9.1656
  19  0.315641  3.5290  4.9414 -1.9346 15.0620 12.2354 10.8429  9.7563  9.1331
  20  0.318863  3.5295  4.9367 -1.9241 15.0272 12.2035 10.8128  9.7283  9.1065
  21  0.321153  3.5296  4.9325 -1.9158 15.0013 12.1799 10.7903  9.7070  9.0859
  22  0.323283  3.5299  4.9293 -1.9088 14.9784 12.1588 10.7703  9.6884  9.0682
  23  0.325475  3.5302  4.9265 -1.9019 14.9557 12.1379 10.7505  9.6701  9.0510
  24  0.328084  3.5305  4.9235 -1.8943 14.9307 12.1148 10.7286  9.6501  9.0319
  25  0.331916  3.5310  4.9201 -1.8838 14.8953 12.0821 10.6978  9.6219  9.0055
  26  0.337747  3.5316  4.9163 -1.8698 14.8490 12.0389 10.6568  9.5847  8.9706
  27  0.349374  3.5331  4.9097 -1.8429 14.7562 11.9525 10.5748  9.5117  8.9029
  28  0.464734  3.5541  4.8142 -1.5393 13.7051 10.9438  9.6158  8.6739  8.1468
  29  0.484281  3.5588  4.7953 -1.4834 13.5141 10.7525  9.4325  8.5179  8.0093
  30  0.499299  3.5629  4.7807 -1.4395 13.3631 10.5971  9.2819  8.3946  7.9021
  31  0.511743  3.5665  4.7691 -1.4026 13.2358 10.4640  9.1523  8.2906  7.8127
  32  0.522092  3.5698  4.7595 -1.3713 13.1280 10.3499  9.0407  8.2019  7.7374
  33  0.532340  3.5732  4.7503 -1.3401 13.0205 10.2345  8.9275  8.1125  7.6621
  34  0.544647  3.5774  4.7395 -1.3027 12.8913 10.0944  8.7895  8.0045  7.5722
  35  0.560694  3.5829  4.7255 -1.2535 12.7205  9.9080  8.6046  7.8621  7.4549
  36  0.579191  3.5899  4.7099 -1.1959 12.5180  9.6846  8.3832  7.6939  7.3185
  37  0.598428  3.5977  4.6946 -1.1357 12.3145  9.4526  8.1609  7.5206  7.1753
  38  0.618154  3.6061  4.6807 -1.0740 12.0958  9.2048  7.9250  7.3401  7.0291
  39  0.637150  3.6146  4.6681 -1.0143 11.8732  8.9601  7.6956  7.1658  6.8897
  40  0.656621  3.6236  4.6563 -0.9529 11.6465  8.7100  7.4696  6.9901  6.7463
  41  0.679478  3.6348  4.6443 -0.8812 11.3250  8.3968  7.2001  6.7817  6.5758
