#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 6.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  10  0.119361  3.5051  5.2309 -2.7423 17.7777 14.6531 13.1490 11.8875 11.1669
  11  0.140970  3.5053  5.1606 -2.5989 17.3617 14.2826 12.7879 11.5300 10.8096
  12  0.176376  3.5091  5.0903 -2.4160 16.7582 13.7525 12.2788 11.0532 10.3493
  13  0.210322  3.5147  5.0470 -2.2741 16.2448 13.3018 11.8515 10.6693  9.9894
  14  0.232906  3.5181  5.0209 -2.1901 15.9460 13.0366 11.6006 10.4430  9.7772
  15  0.252338  3.5208  5.0002 -2.1236 15.7103 12.8261 11.4014 10.2634  9.6090
  16  0.275091  3.5239  4.9792 -2.0527 15.4637 12.6027 11.1902 10.0724  9.4301
  17  0.292653  3.5262  4.9631 -2.0005 15.2839 12.4390 11.0356  9.9321  9.2986
  18  0.302824  3.5275  4.9527 -1.9701 15.1808 12.3446 10.9463  9.8507  9.2220
  19  0.309296  3.5283  4.9455 -1.9505 15.1155 12.2848 10.8897  9.7988  9.1729
  20  0.314088  3.5289  4.9397 -1.9357 15.0666 12.2400 10.8473  9.7596  9.1358
  21  0.317475  3.5292  4.9348 -1.9247 15.0312 12.2074 10.8164  9.7307  9.1081
  22  0.320226  3.5296  4.9311 -1.9159 15.0025 12.1812 10.7915  9.7076  9.0862
  23  0.322595  3.5298  4.9279 -1.9084 14.9780 12.1586 10.7702  9.6879  9.0675
  24  0.324840  3.5301  4.9251 -1.9015 14.9553 12.1377 10.7503  9.6695  9.0501
  25  0.327468  3.5305  4.9220 -1.8936 14.9287 12.1133 10.7273  9.6484  9.0302
  26  0.330843  3.5308  4.9192 -1.8849 14.9002 12.0867 10.7022  9.6253  9.0084
  27  0.335920  3.5315  4.9163 -1.8729 14.8596 12.0490 10.6664  9.5932  8.9784
  28  0.344683  3.5325  4.9111 -1.8524 14.7899 11.9839 10.6047  9.5378  8.9268
  29  0.461143  3.5530  4.8163 -1.5482 13.7369 10.9788  9.6521  8.7012  8.1683
  30  0.472965  3.5563  4.8035 -1.5124 13.6150 10.8536  9.5289  8.5992  8.0807
  31  0.491441  3.5609  4.7856 -1.4592 13.4323 10.6689  9.3517  8.4505  7.9499
  32  0.505536  3.5648  4.7720 -1.4175 13.2893 10.5205  9.2074  8.3336  7.8488
  33  0.516774  3.5682  4.7614 -1.3837 13.1728 10.3978  9.0876  8.2381  7.7672
  34  0.526954  3.5715  4.7520 -1.3527 13.0659 10.2837  8.9759  8.1494  7.6922
  35  0.538075  3.5753  4.7419 -1.3185 12.9486 10.1572  8.8513  8.0514  7.6102
  36  0.552195  3.5802  4.7295 -1.2752 12.7994  9.9943  8.6905  7.9264  7.5065
  37  0.569433  3.5865  4.7144 -1.2215 12.6112  9.7879  8.4854  7.7700  7.3791
  38  0.588060  3.5938  4.6988 -1.1628 12.4085  9.5606  8.2632  7.5995  7.2398
  39  0.606420  3.6014  4.6846 -1.1050 12.2134  9.3365  8.0510  7.4331  7.1020
  40  0.624460  3.6093  4.6720 -1.0476 12.0040  9.1028  7.8287  7.2649  6.9674
  41  0.643908  3.6183  4.6595 -0.9860 11.7740  8.8492  7.5930  7.0853  6.8232
  42  0.663603  3.6277  4.6478 -0.9235 11.5246  8.5876  7.3617  6.9056  6.6762
  43  0.683603  3.6378  4.6373 -0.8600 11.2240  8.3089  7.1261  6.7217  6.5243
  44  0.705801  3.6491  4.6268 -0.7905 10.8437  7.9992  6.8757  6.5210  6.3531
  45  0.727437  3.6603  4.6175 -0.7231 10.4339  7.6984  6.6452  6.3302  6.1845
  46  0.748404  3.6709  4.6081 -0.6589 10.0345  7.4185  6.4364  6.1526  6.0236
  47  0.768356  3.6808  4.5983 -0.5983  9.6611  7.1650  6.2472  5.9887  5.8734
  48  0.784483  3.6884  4.5899 -0.5501  9.3696  6.9698  6.1010  5.8608  5.7560
  49  0.797111  3.6942  4.5829 -0.5133  9.1605  6.8256  5.9918  5.7642  5.6672
