objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671262272357453,132.997994812286,11.7656199332144,24.02262,21.65226,20.30481,19.40173,18.91925,0.5484128,0.05652961,0.02436931,0.01643301,0.03054884
1237671262272357460,132.9882336582,11.82578787746,23.77007,23.57898,22.79459,22.24996,21.89685,0.4862363,0.2722668,0.1803854,0.1439086,0.2997859
1237671262272357326,133.013223856033,11.7605653816485,21.35315,20.33574,20.05311,19.97134,19.83736,0.08331618,0.02124426,0.02021481,0.02356132,0.05987166
1237671262272357322,133.004778467493,11.7775855758354,22.72324,25.59339,24.19889,24.2587,23.18677,0.2369809,0.533702,0.4936726,0.4835507,0.3757134
1237671262272357321,132.997956628749,11.7880493677181,22.62931,26.35525,25.63007,25.02979,22.90754,0.2200821,0.3327827,0.4295427,0.4018595,0.3981574
1237671262272357320,132.997669743516,11.7758677424148,22.59611,26.59639,25.81878,23.94853,22.28399,0.2127186,0.2751321,0.3845695,0.4606211,0.3607941
1237671262272357316,132.974542252132,11.8371170019501,22.00473,20.9004,20.51748,20.45009,20.1735,0.1353003,0.03123106,0.02834183,0.03381317,0.08047998
1237671262272357312,132.984657301705,11.7668282621916,22.07162,21.38025,20.22155,19.93696,19.5729,0.1468404,0.04685777,0.0236883,0.02416401,0.05128639
1237671262272357290,133.018028226864,11.7749250051645,23.02282,21.42313,19.9713,18.63331,17.92681,0.2899837,0.0471978,0.01912488,0.01046955,0.01591979
1237671262272357285,132.999199315592,11.7621014230146,24.13971,21.62944,20.17328,18.97812,18.2972,0.557005,0.05519469,0.02203489,0.01266525,0.0199849
1237671262272357222,133.011273589685,11.7769822207933,23.3282,21.02355,19.49902,18.47554,17.90442,0.3651446,0.03450832,0.01411214,0.009691067,0.015749
1237671262272357220,133.006189148405,11.7928776600603,23.62969,20.72445,19.28558,18.25366,17.67243,0.4407837,0.0277473,0.01237755,0.00874694,0.01377135
1237671262272357217,132.991707509646,11.8437711999273,23.19024,20.71475,19.23946,18.20914,17.63842,0.3359782,0.02762697,0.01204728,0.0085969,0.01356536
1237671262272357215,133.014651141207,11.7396257571437,22.83784,20.61783,19.23469,18.20428,17.55798,0.2597333,0.02583098,0.01198352,0.008517508,0.01277552
1237671262272357211,132.994582638521,11.7187834342016,22.90413,20.38174,18.91824,17.99555,17.4603,0.2687894,0.02186907,0.01008314,0.007889246,0.01227266
1237671262272357100,133.023207048188,11.8482242741686,24.3635,23.17226,23.83962,23.36626,22.61384,0.6758657,0.2139221,0.440459,0.3858908,0.4471526
